Tb427VSG-1	Tb427_000630400
Tb427VSG-492	Tb427_000249600
Tb427VSG-493	Tb427_000417400
Tb427VSG-494	Tb427_000358700:pseudogene
Tb427VSG-495	Tb427_000282000
Tb427VSG-496	Tb427_000185500:pseudogene
Tb427VSG-497	Tb427_000079800:pseudogene
Tb427VSG-498	Tb427_000495400:pseudogene
Tb427VSG-499	Tb427_000170100
Tb427VSG-500	Tb427_000281300
Tb427VSG-501	Tb427_000384300
Tb427VSG-503	Tb427_000795400
Tb427VSG-504	Tb427_000632500
Tb427VSG-505	Tb427_000065300
Tb427VSG-506	Tb427_000086300
Tb427VSG-507	Tb427_000632600
Tb427VSG-508	Tb427_000471500
Tb427VSG-509	Tb427_000446800
Tb427VSG-510	Tb427_000436200
Tb427VSG-511	Tb427_000080300
Tb427VSG-512	Tb427_000380000:pseudogene
Tb427VSG-513	Tb427_000103400
Tb427VSG-514	Tb427_000439300
Tb427VSG-515	Tb427_000580300
Tb427VSG-516	Tb427_000368100
Tb427VSG-517	Tb427_000466700
Tb427VSG-518	Tb427_000578200
Tb427VSG-520	Tb427_000171100
Tb427VSG-521	Tb427_000422800:pseudogene
Tb427VSG-522	Tb427_000524200
Tb427VSG-523	Tb427_000847800
Tb427VSG-525	Tb427_000860000
Tb427VSG-526	Tb427_000606200:pseudogene
Tb427VSG-527	Tb427_000058400:pseudogene
Tb427VSG-528	Tb427_000419600
Tb427VSG-529	Tb427_000120900
Tb427VSG-530	Tb427_000407100
Tb427VSG-531	Tb427_000304300
Tb427VSG-532	Tb427_000524100
Tb427VSG-533	Tb427_000553400
Tb427VSG-534	Tb427_000441600:pseudogene
Tb427VSG-535	Tb427_000847100
Tb427VSG-536	Tb427_000284800
Tb427VSG-537	Tb427_000213100
Tb427VSG-538	Tb427_000191700
Tb427VSG-539	Tb427_000139600:pseudogene
Tb427VSG-540	Tb427_000039400
Tb427VSG-541	Tb427_000363100
Tb427VSG-542	Tb427_000632700
Tb427VSG-543	Tb427_000426600
Tb427VSG-544	Tb427_000143200
Tb427VSG-545	Tb427_000488000
Tb427VSG-546	Tb427_000560500
Tb427VSG-547	Tb427_000494600
Tb427VSG-548	Tb427_000349900
Tb427VSG-549	Tb427_000178000
Tb427VSG-550	Tb427_000050900
Tb427VSG-551	Tb427_000227700
Tb427VSG-552	Tb427_000567300
Tb427VSG-553	Tb427_000246600:pseudogene
Tb427VSG-554	Tb427_000448200
Tb427VSG-555	Tb427_000581500:pseudogene
Tb427VSG-556	Tb427_000278800
Tb427VSG-557	Tb427_000424900
Tb427VSG-558	Tb427_000138600
Tb427VSG-559	Tb427_000615900
Tb427VSG-560	Tb427_000156700
Tb427VSG-561	Tb427_000398700
Tb427VSG-563	Tb427_000238000:pseudogene
Tb427VSG-564	Tb427_000235800
Tb427VSG-565	Tb427_000475100
Tb427VSG-566	Tb427_000097000:pseudogene
Tb427VSG-568	Tb427_000313000
Tb427VSG-569	Tb427_000357900:pseudogene
Tb427VSG-570	Tb427_000602000
Tb427VSG-571	Tb427_000845400
Tb427VSG-572	Tb427_000391900
Tb427VSG-573	Tb427_000461300
Tb427VSG-574	Tb427_000103800
Tb427VSG-575	Tb427_000632800
Tb427VSG-576	Tb427_000363900
Tb427VSG-577	Tb427_000186300:pseudogene
Tb427VSG-578	Tb427_000391200
Tb427VSG-579	Tb427_000083600
Tb427VSG-580	Tb427_000402600:pseudogene
Tb427VSG-581	Tb427_000031600:pseudogene
Tb427VSG-582	Tb427_000369100
Tb427VSG-583	Tb427_000324000
Tb427VSG-584	Tb427_000335400:pseudogene
Tb427VSG-585	Tb427_000370000
Tb427VSG-586	Tb427_000115300
Tb427VSG-588	Tb427_000414000
Tb427VSG-589	Tb427_000248300:pseudogene
Tb427VSG-590	Tb427_000265500:pseudogene
Tb427VSG-591	Tb427_000042200
Tb427VSG-592	Tb427_000332600:pseudogene
Tb427VSG-593	Tb427_000027100:pseudogene
Tb427VSG-594	Tb427_000546500:pseudogene
Tb427VSG-595	Tb427_000623500
Tb427VSG-596	Tb427_000623700:pseudogene
Tb427VSG-597	Tb427_000318400
Tb427VSG-598	Tb427_000548300
Tb427VSG-599	Tb427_000154600
Tb427VSG-600	Tb427_000632900
Tb427VSG-601	Tb427_000240600
Tb427VSG-602	Tb427_000411100:pseudogene
Tb427VSG-603	Tb427_000558600
Tb427VSG-604	Tb427_000129000
Tb427VSG-605	Tb427_000093500:pseudogene
Tb427VSG-606	Tb427_000119200
Tb427VSG-607	Tb427_000089700
Tb427VSG-608	Tb427_000169800
Tb427VSG-609	Tb427_000326400
Tb427VSG-610	Tb427_000479800:pseudogene
Tb427VSG-611	Tb427_000472500
Tb427VSG-612	Tb427_000523100
Tb427VSG-613	Tb427_000449000
Tb427VSG-614	Tb427_000572500
Tb427VSG-615	Tb427_000633100
Tb427VSG-616	Tb427_000594800:pseudogene
Tb427VSG-617	Tb427_000437000
Tb427VSG-618	Tb427_000633200
Tb427VSG-619	Tb427_000569300
Tb427VSG-620	Tb427_000633400
Tb427VSG-621	Tb427_000028800
Tb427VSG-622	Tb427_000633500
Tb427VSG-623	Tb427_000208000
Tb427VSG-624	Tb427_000684300
Tb427VSG-625	Tb427_050046700
Tb427VSG-626	Tb427_000244800
Tb427VSG-627	Tb427_000292300:pseudogene
Tb427VSG-629	Tb427_000641700
Tb427VSG-630	Tb427_000454300
Tb427VSG-631	Tb427_000432500:pseudogene
Tb427VSG-632	Tb427_000749400
Tb427VSG-633	Tb427_000585000
Tb427VSG-634	Tb427_000417500:pseudogene
Tb427VSG-635	Tb427_000472700:pseudogene
Tb427VSG-636	Tb427_000627000
Tb427VSG-637	Tb427_000633600
Tb427VSG-638	Tb427_000252000
Tb427VSG-639	Tb427_000288600
Tb427VSG-640	Tb427_000854500
Tb427VSG-641	Tb427_000571500
Tb427VSG-642	Tb427_000346900
Tb427VSG-643	Tb427_000844500
Tb427VSG-644	Tb427_000241600
Tb427VSG-646	Tb427_000633700
Tb427VSG-647	Tb427_000633800
Tb427VSG-648	Tb427_000590800
Tb427VSG-649	Tb427_000833800
Tb427VSG-650	Tb427_000247100
Tb427VSG-651	Tb427_000133800:pseudogene
Tb427VSG-652	Tb427_000415100:pseudogene
Tb427VSG-653	Tb427_000173600
Tb427VSG-654	Tb427_000369500
Tb427VSG-655	Tb427_000507700
Tb427VSG-656	Tb427_000278400
Tb427VSG-657	Tb427_000594700
Tb427VSG-658	Tb427_000167500
Tb427VSG-659	Tb427_000138000:pseudogene
Tb427VSG-660	Tb427_000320200
Tb427VSG-661	Tb427_000317900
Tb427VSG-662	Tb427_000634000
Tb427VSG-663	Tb427_000797200:pseudogene
Tb427VSG-664	Tb427_000419400
Tb427VSG-665	Tb427_000175200:pseudogene
Tb427VSG-666	Tb427_000634100:pseudogene
Tb427VSG-667	Tb427_000211900
Tb427VSG-668	Tb427_000264200
Tb427VSG-669	Tb427_000144400
Tb427VSG-670	Tb427_000051500:pseudogene
Tb427VSG-671	Tb427_000634200
Tb427VSG-672	Tb427_000836500:pseudogene
Tb427VSG-673	Tb427_000614700
Tb427VSG-674	Tb427_000343800:pseudogene
Tb427VSG-675	Tb427_000581700
Tb427VSG-676	Tb427_000280400
Tb427VSG-678	Tb427_000252600:pseudogene
Tb427VSG-679	Tb427_000519100
Tb427VSG-680	Tb427_000564900:pseudogene
Tb427VSG-681	Tb427_000618200:pseudogene
Tb427VSG-682	Tb427_000383600
Tb427VSG-683	Tb427_000185900
Tb427VSG-684	Tb427_000168500:pseudogene
Tb427VSG-685	Tb427_000427100
Tb427VSG-686	Tb427_000423200
Tb427VSG-687	Tb427_000362900:pseudogene
Tb427VSG-688	Tb427_000205400
Tb427VSG-689	Tb427_000581900:pseudogene
Tb427VSG-690	Tb427_000307900
Tb427VSG-691	Tb427_000130900
Tb427VSG-692	Tb427_000424600:pseudogene
Tb427VSG-693	Tb427_000444500
Tb427VSG-694	Tb427_000177000:pseudogene
Tb427VSG-695	Tb427_000195000:pseudogene
Tb427VSG-696	Tb427_000210300
Tb427VSG-697	Tb427_000162000:pseudogene
Tb427VSG-698	Tb427_000852300
Tb427VSG-699	Tb427_000236500
Tb427VSG-700	Tb427_000543100
Tb427VSG-701	Tb427_000496400:pseudogene
Tb427VSG-702	Tb427_000505000:pseudogene
Tb427VSG-703	Tb427_000609300
Tb427VSG-704	Tb427_000199700
Tb427VSG-705	Tb427_000475600
Tb427VSG-706	Tb427_000116100:pseudogene
Tb427VSG-707	Tb427_000187100
Tb427VSG-708	Tb427_000164800
Tb427VSG-709	Tb427_000265200
Tb427VSG-710	Tb427_000268300
Tb427VSG-711	Tb427_000322700
Tb427VSG-712	Tb427_000601800
Tb427VSG-713	Tb427_000561500
Tb427VSG-714	Tb427_000442800
Tb427VSG-715	Tb427_000480500
Tb427VSG-716	Tb427_000097200:pseudogene
Tb427VSG-717	Tb427_000634300
Tb427VSG-718	Tb427_000323600:pseudogene
Tb427VSG-719	Tb427_000310500
Tb427VSG-720	Tb427_000065100
Tb427VSG-721	Tb427_000068500:pseudogene
Tb427VSG-722	Tb427_000526700:pseudogene
Tb427VSG-723	Tb427_000690100:pseudogene
Tb427VSG-724	Tb427_000104200
Tb427VSG-725	Tb427_000313300
Tb427VSG-726	Tb427_000236800
Tb427VSG-727	Tb427_000179700:pseudogene
Tb427VSG-728	Tb427_000409900
Tb427VSG-729	Tb427_000308200:pseudogene
Tb427VSG-730	Tb427_000515000
Tb427VSG-731	Tb427_000332100
Tb427VSG-732	Tb427_000436800:pseudogene
Tb427VSG-733	Tb427_000577000:pseudogene
Tb427VSG-734	Tb427_000300600:pseudogene
Tb427VSG-735	Tb427_000460500
Tb427VSG-736	Tb427_000575300
Tb427VSG-737	Tb427_000187300
Tb427VSG-738	Tb427_000135200:pseudogene
Tb427VSG-739	Tb427_000851800
Tb427VSG-740	Tb427_000472600
Tb427VSG-741	Tb427_000309600
Tb427VSG-742	Tb427_000230900
Tb427VSG-743	Tb427_000345600:pseudogene
Tb427VSG-744	Tb427_000329600
Tb427VSG-745	Tb427_000475400
Tb427VSG-747	Tb427_000376800:pseudogene
Tb427VSG-748	Tb427_000555500
Tb427VSG-749	Tb427_000333300:pseudogene
Tb427VSG-750	Tb427_000823400
Tb427VSG-751	Tb427_000214900:pseudogene
Tb427VSG-752	Tb427_000345900:pseudogene
Tb427VSG-753	Tb427_000243200
Tb427VSG-754	Tb427_000056800:pseudogene
Tb427VSG-755	Tb427_000567200
Tb427VSG-756	Tb427_000029000:pseudogene
Tb427VSG-757	Tb427_000296400
Tb427VSG-758	Tb427_000375200:pseudogene
Tb427VSG-759	Tb427_000440000
Tb427VSG-760	Tb427_000095100
Tb427VSG-762	Tb427_000426200:pseudogene
Tb427VSG-763	Tb427_000312600:pseudogene
Tb427VSG-764	Tb427_000586900:pseudogene
Tb427VSG-765	Tb427_000625500
Tb427VSG-766	Tb427_000206400
Tb427VSG-767	Tb427_000789400
Tb427VSG-768	Tb427_000345800
Tb427VSG-769	Tb427_000087600
Tb427VSG-770	Tb427_000566100
Tb427VSG-771	Tb427_000434900:pseudogene
Tb427VSG-772	Tb427_000086500:pseudogene
Tb427VSG-773	Tb427_000552500
Tb427VSG-774	Tb427_000339400:pseudogene
Tb427VSG-775	Tb427_000634500:pseudogene
Tb427VSG-776	Tb427_000854400
Tb427VSG-777	Tb427_000074800:pseudogene
Tb427VSG-778	Tb427_000118400:pseudogene
Tb427VSG-779	Tb427_000431000:pseudogene
Tb427VSG-780	Tb427_000353000
Tb427VSG-781	Tb427_000418700
Tb427VSG-782	Tb427_000598800
Tb427VSG-783	Tb427_000083500:pseudogene
Tb427VSG-784	Tb427_000307100
Tb427VSG-785	Tb427_000378400:pseudogene
Tb427VSG-786	Tb427_000171500
Tb427VSG-787	Tb427_000148800
Tb427VSG-788	Tb427_000686400
Tb427VSG-789	Tb427_000419700
Tb427VSG-790	Tb427_000439400
Tb427VSG-791	Tb427_000709800
Tb427VSG-792	Tb427_000433300
Tb427VSG-793	Tb427_000491700
Tb427VSG-794	Tb427_000220500
Tb427VSG-795	Tb427_000066400
Tb427VSG-796	Tb427_000230800
Tb427VSG-797	Tb427_000463700
Tb427VSG-798	Tb427_000586700
Tb427VSG-799	Tb427_000376700
Tb427VSG-800	Tb427_000220900
Tb427VSG-802	Tb427_000136600
Tb427VSG-803	Tb427_000628500
Tb427VSG-804	Tb427_000596200
Tb427VSG-805	Tb427_000267600
Tb427VSG-806	Tb427_000086800
Tb427VSG-807	Tb427_000468900:pseudogene
Tb427VSG-808	Tb427_000230500
Tb427VSG-809	Tb427_000444700
Tb427VSG-810	Tb427_000607200
Tb427VSG-811	Tb427_000129900:pseudogene
Tb427VSG-812	Tb427_000049900
Tb427VSG-813	Tb427_090009900
Tb427VSG-814	Tb427_000614300
Tb427VSG-815	Tb427_000280200
Tb427VSG-816	Tb427_000077600
Tb427VSG-817	Tb427_000522500
Tb427VSG-818	Tb427_000603700:pseudogene
Tb427VSG-820	Tb427_000193200:pseudogene
Tb427VSG-821	Tb427_000104800
Tb427VSG-822	Tb427_000070000:pseudogene
Tb427VSG-823	Tb427_000086200
Tb427VSG-824	Tb427_000072900:pseudogene
Tb427VSG-826	Tb427_000634600
Tb427VSG-1002	Tb427_000078200:pseudogene
Tb427VSG-1003	Tb427_000266400
Tb427VSG-1004	Tb427_000257100:pseudogene
Tb427VSG-1005	Tb427_000469700
Tb427VSG-1006	Tb427_000340600
Tb427VSG-1007	Tb427_000181700:pseudogene
Tb427VSG-1008	Tb427_000064500
Tb427VSG-1009	Tb427_000496800
Tb427VSG-1010	Tb427_000331700
Tb427VSG-1011	Tb427_000426800
Tb427VSG-1012	Tb427_000328500:pseudogene
Tb427VSG-1013	Tb427_000456200:pseudogene
Tb427VSG-1014	Tb427_000162700:pseudogene
Tb427VSG-1015	Tb427_000533800
Tb427VSG-1016	Tb427_000357000:pseudogene
Tb427VSG-1017	Tb427_000858100
Tb427VSG-1019	Tb427_000225800
Tb427VSG-1020	Tb427_000405300
Tb427VSG-1021	Tb427_000171300
Tb427VSG-1022	Tb427_000624400:pseudogene
Tb427VSG-1023	Tb427_000361300
Tb427VSG-1024	Tb427_000468500:pseudogene
Tb427VSG-1025	Tb427_000092300
Tb427VSG-1026	Tb427_000255500
Tb427VSG-1027	Tb427_000843700:pseudogene
Tb427VSG-1028	Tb427_000547300
Tb427VSG-1029	Tb427_000388600
Tb427VSG-1030	Tb427_000511100:pseudogene
Tb427VSG-1031	Tb427_000027900
Tb427VSG-1032	Tb427_000356500
Tb427VSG-1033	Tb427_000787700:pseudogene
Tb427VSG-1034	Tb427_000848000
Tb427VSG-1035	Tb427_000487700
Tb427VSG-1036	Tb427_000455000
Tb427VSG-1037	Tb427_000090200
Tb427VSG-1038	Tb427_000720100:pseudogene
Tb427VSG-1039	Tb427_000585700:pseudogene
Tb427VSG-1041	Tb427_000050400
Tb427VSG-1042	Tb427_090010900:pseudogene
Tb427VSG-1043	Tb427_000327500
Tb427VSG-1044	Tb427_000470900:pseudogene
Tb427VSG-1045	Tb427_000572200
Tb427VSG-1046	Tb427_000091500
Tb427VSG-1048	Tb427_000065000
Tb427VSG-1049	Tb427_000595900:pseudogene
Tb427VSG-1050	Tb427_000857700
Tb427VSG-1052	Tb427_000048200:pseudogene
Tb427VSG-1054	Tb427_000086000
Tb427VSG-1055	Tb427_000143300
Tb427VSG-1056	Tb427_000570900
Tb427VSG-1057	Tb427_000280900:pseudogene
Tb427VSG-1058	Tb427_000121300
Tb427VSG-1059	Tb427_000365600
Tb427VSG-1060	Tb427_000414100
Tb427VSG-1061	Tb427_000185100
Tb427VSG-1062	Tb427_000172800:pseudogene
Tb427VSG-1063	Tb427_000125400:pseudogene
Tb427VSG-1064	Tb427_000605500:pseudogene
Tb427VSG-1065	Tb427_000255000
Tb427VSG-1066	Tb427_000475300:pseudogene
Tb427VSG-1068	Tb427_000466200
Tb427VSG-1069	Tb427_000342600:pseudogene
Tb427VSG-1070	Tb427_000140700:pseudogene
Tb427VSG-1071	Tb427_000201400
Tb427VSG-1072	Tb427_000465000:pseudogene
Tb427VSG-1073	Tb427_000039000:pseudogene
Tb427VSG-1074	Tb427_000395700
Tb427VSG-1075	Tb427_000303300:pseudogene
Tb427VSG-1076	Tb427_000384900
Tb427VSG-1077	Tb427_000350600:pseudogene
Tb427VSG-1078	Tb427_000456800:pseudogene
Tb427VSG-1079	Tb427_000312800:pseudogene
Tb427VSG-1080	Tb427_000026700
Tb427VSG-1081	Tb427_000102500
Tb427VSG-1082	Tb427_000425300
Tb427VSG-1084	Tb427_000607700
Tb427VSG-1085	Tb427_000355100:pseudogene
Tb427VSG-1086	Tb427_000253200
Tb427VSG-1087	Tb427_000080700
Tb427VSG-1088	Tb427_000312300:pseudogene
Tb427VSG-1089	Tb427_000096000
Tb427VSG-1090	Tb427_000068800
Tb427VSG-1091	Tb427_000418200
Tb427VSG-1092	Tb427_000468300:pseudogene
Tb427VSG-1093	Tb427_000219000:pseudogene
Tb427VSG-1094	Tb427_000230100
Tb427VSG-1095	Tb427_000545300
Tb427VSG-1096	Tb427_000413800
Tb427VSG-1097	Tb427_000329700:pseudogene
Tb427VSG-1098	Tb427_000357500:pseudogene
Tb427VSG-1099	Tb427_000082200:pseudogene
Tb427VSG-1100	Tb427_000417800:pseudogene
Tb427VSG-1101	Tb427_000482700:pseudogene
Tb427VSG-1102	Tb427_000145100:pseudogene
Tb427VSG-1103	Tb427_000533500:pseudogene
Tb427VSG-1104	Tb427_000468200:pseudogene
Tb427VSG-1105	Tb427_000530700:pseudogene
Tb427VSG-1106	Tb427_000377000:pseudogene
Tb427VSG-1107	Tb427_000476900
Tb427VSG-1108	Tb427_000383900:pseudogene
Tb427VSG-1109	Tb427_000520600
Tb427VSG-1110	Tb427_000195900:pseudogene
Tb427VSG-1111	Tb427_000856500
Tb427VSG-1112	Tb427_000599000
Tb427VSG-1113	Tb427_000588600
Tb427VSG-1114	Tb427_000283100
Tb427VSG-1116	Tb427_000587700:pseudogene
Tb427VSG-1117	Tb427_000629700
Tb427VSG-1118	Tb427_000592500:pseudogene
Tb427VSG-1119	Tb427_000240000
Tb427VSG-1120	Tb427_000312700:pseudogene
Tb427VSG-1121	Tb427_000250600:pseudogene
Tb427VSG-1122	Tb427_000027500
Tb427VSG-1123	Tb427_000844600
Tb427VSG-1124	Tb427_000508300
Tb427VSG-1125	Tb427_000455700
Tb427VSG-1126	Tb427_000456500:pseudogene
Tb427VSG-1128	Tb427_000104600
Tb427VSG-1129	Tb427_000137500
Tb427VSG-1130	Tb427_000187900
Tb427VSG-1131	Tb427_000717100:pseudogene
Tb427VSG-1132	Tb427_000319200
Tb427VSG-1133	Tb427_000472100
Tb427VSG-1134	Tb427_000040900:pseudogene
Tb427VSG-1135	Tb427_000284600:pseudogene
Tb427VSG-1136	Tb427_000115200:pseudogene
Tb427VSG-1137	Tb427_000031200
Tb427VSG-1138	Tb427_000125500
Tb427VSG-1139	Tb427_000500800:pseudogene
Tb427VSG-1140	Tb427_000189000
Tb427VSG-1141	Tb427_000059700:pseudogene
Tb427VSG-1142	Tb427_000256500:pseudogene
Tb427VSG-1143	Tb427_000527200:pseudogene
Tb427VSG-1144	Tb427_000124900
Tb427VSG-1145	Tb427_000472300
Tb427VSG-1146	Tb427_000032100:pseudogene
Tb427VSG-1147	Tb427_000568200:pseudogene
Tb427VSG-1148	Tb427_000082600:pseudogene
Tb427VSG-1149	Tb427_000156400
Tb427VSG-1150	Tb427_000830200
